member_id,phone,class_id,qr_code
member-001,5551234567,class-001,GIM-QR-001-ABC
member-002,5551234568,class-002,GIM-QR-002-DEF
member-003,5551234569,class-003,GIM-QR-003-GHI
member-004,5551234570,class-004,GIM-QR-004-JKL
member-005,5551234571,class-005,GIM-QR-005-MNO
member-006,5551234572,class-001,GIM-QR-006-PQR
member-007,5551234573,class-002,GIM-QR-007-STU
member-008,5551234574,class-003,GIM-QR-008-VWX
member-009,5551234575,class-004,GIM-QR-009-YZA
member-010,5551234576,class-005,GIM-QR-010-BCD
member-011,5551234577,class-001,GIM-QR-011-EFG
member-012,5551234578,class-002,GIM-QR-012-HIJ
member-013,5551234579,class-003,GIM-QR-013-KLM
member-014,5551234580,class-004,GIM-QR-014-NOP
member-015,5551234581,class-005,GIM-QR-015-QRS
member-016,5551234582,class-001,GIM-QR-016-TUV
member-017,5551234583,class-002,GIM-QR-017-WXY
member-018,5551234584,class-003,GIM-QR-018-ZAB
member-019,5551234585,class-004,GIM-QR-019-CDE
member-020,5551234586,class-005,GIM-QR-020-FGH
